artist_id,artist_name,genre
ade-197635,ADE,Scène Française
wiegedood-152620,WIEGEDOOD,Métal/Hard-Rock
fatigue-hakim-jemili-14313,PIERRE MICHELOT,Jazz / Blues
madeleine-peyroux-29539,MADELEINE PEYROUX,Jazz / Blues
sleeparchive-45821,SLEEPARCHIVE,Electro
tahiti-80-7550,TAHITI 80,Scène Française
camp-claude-132905,CAMP CLAUDE,Electro
santa-machete-136105,SANTA MACHETE,World
cyril-cyril-173882,CYRIL CYRIL,Variété pop internationale
stacey-kent-11766,STACEY KENT,Jazz / Blues
graviity-graviity-180156,GRAVIITY (GRAViiTY),Dj
xixa-146280,XIXA,Rock
plk-165099,PLK,Hip-Hop/Rap/R'n'B
hugo-tout-seul-138544,HUGO TOUT SEUL,Humour
wary-nichen-144007,WARY NICHEN,Humour
dakhabrakha-97699,DAKHABRAKHA,World
avalon-celtic-dances-44510,AVALON CELTIC DANCES,World
rosa-bursztein-173857,ROSA BURSZTEIN,Humour
piche-225647,PICHE,Hip-Hop/Rap/R'n'B
nicolas-saez-79176,NICOLAS SAEZ,World
oscar-mulero-14460,OSCAR MULERO,Electro
christophe-maroye-32971,CHRISTOPHE MAROYE,Scène Française
bill-et-le-kid-137014,BILL ET LE KID,Spectacle pour enfants
karelle-157440,KARELLE,Scène Française
dani-lary-71914,DANI LARY,Spectacles / cabaret
disney-sur-glace---crois-en-tes-reves-170006,DISNEY SUR GLACE - CROIS EN TES REVES,Spectacle Musical
jacky-terrasson-182,JACKY TERRASSON,Jazz / Blues
the-big-idea-161188,THE BIG IDEA,Rock
grand-blanc-113134,GRAND BLANC,Scène Française
pepite-155048,PEPITE,Scène Française
iam-6785,IAM,Hip-Hop/Rap/R'n'B
the-libertines-25217,THE LIBERTINES,Rock
kink-111263,KINK,Dj
ark-electro-126755,ARK (electro),Electro
show-me-the-body-152844,SHOW ME THE BODY,Rock
simple-minds-6516,SIMPLE MINDS,Variété pop internationale
charlaz-trio-34721,CHARLAZ TRIO,Rock
axelle-fanyo-171582,AXELLE FANYO,Classique
smooth-jazz-33175,SMOOTH JAZZ,Jazz / Blues
a-strvyt-131964,A-STRVYT,Dj
